iso_code,country,risk_score,recommendations
MLI,Mali,59.8,Increase renewable energy adoption (currently 10%) | Implement emission reduction targets (growing at 3.5%/yr) | Invest in climate adaptation infrastructure
YEM,Yemen,59.5,Increase renewable energy adoption (currently 15%) | Invest in climate adaptation infrastructure
BFA,Burkina Faso,58.9,Increase renewable energy adoption (currently 18%) | Implement emission reduction targets (growing at 3.2%/yr) | Invest in climate adaptation infrastructure
BEN,Benin,58.6,Increase renewable energy adoption (currently 8%) | Implement emission reduction targets (growing at 2.3%/yr) | Invest in climate adaptation infrastructure
ZMB,Zambia,58.0,Reduce coal dependency (currently 50% of emissions) | Increase renewable energy adoption (currently 7%)
LSO,Lesotho,57.7,Reduce coal dependency (currently 64% of emissions) | Increase renewable energy adoption (currently 0%) | Implement emission reduction targets (growing at 3.1%/yr)
TZA,Tanzania,57.5,Increase renewable energy adoption (currently 15%) | Invest in climate adaptation infrastructure
IND,India,57.3,Reduce coal dependency (currently 66% of emissions) | Increase renewable energy adoption (currently 6%) | Implement emission reduction targets (growing at 4.3%/yr)
MOZ,Mozambique,57.3,Increase renewable energy adoption (currently 14%)
KEN,Kenya,56.6,Increase renewable energy adoption (currently 15%) | Invest in climate adaptation infrastructure
PAK,Pakistan,56.2,Increase renewable energy adoption (currently 8%) | Invest in climate adaptation infrastructure
PRK,North Korea,55.9,Reduce coal dependency (currently 91% of emissions) | Increase renewable energy adoption (currently 4%)
TGO,Togo,55.8,Implement emission reduction targets (growing at 3.1%/yr) | Invest in climate adaptation infrastructure
CMR,Cameroon,55.7,Maintain current sustainability policies and monitor trends
MMR,Myanmar,55.7,Increase renewable energy adoption (currently 10%) | Invest in climate adaptation infrastructure
NPL,Nepal,55.4,Reduce coal dependency (currently 43% of emissions) | Increase renewable energy adoption (currently 12%) | Implement emission reduction targets (growing at 2.3%/yr)
LAO,Laos,54.4,Reduce coal dependency (currently 68% of emissions)
NGA,Nigeria,53.4,Increase renewable energy adoption (currently 17%) | Implement emission reduction targets (growing at 5.0%/yr)
PHL,Philippines,52.7,Reduce coal dependency (currently 53% of emissions) | Increase renewable energy adoption (currently 6%) | Implement emission reduction targets (growing at 8.6%/yr)
SEN,Senegal,52.3,Invest in climate adaptation infrastructure
LKA,Sri Lanka,52.2,Increase renewable energy adoption (currently 2%) | Implement emission reduction targets (growing at 8.7%/yr)
SWZ,Eswatini,51.2,Increase renewable energy adoption (currently 0%)
TLS,East Timor,50.2,Increase renewable energy adoption (currently 5%) | Implement emission reduction targets (growing at 4.9%/yr) | Invest in climate adaptation infrastructure
IDN,Indonesia,50.1,Reduce coal dependency (currently 54% of emissions) | Increase renewable energy adoption (currently 4%) | Implement emission reduction targets (growing at 6.5%/yr)
BTN,Bhutan,49.9,Reduce coal dependency (currently 51% of emissions) | Increase renewable energy adoption (currently 19%) | Invest in climate adaptation infrastructure
BWA,Botswana,49.5,Reduce coal dependency (currently 58% of emissions) | Increase renewable energy adoption (currently 0%) | Implement emission reduction targets (growing at 2.9%/yr)
KHM,Cambodia,49.2,Implement emission reduction targets (growing at 2.2%/yr)
DJI,Djibouti,49.1,Invest in climate adaptation infrastructure
KIR,Kiribati,48.9,Increase renewable energy adoption (currently 0%) | Implement emission reduction targets (growing at 4.3%/yr) | Invest in climate adaptation infrastructure
AGO,Angola,47.6,Implement emission reduction targets (growing at 3.0%/yr) | Invest in climate adaptation infrastructure
GTM,Guatemala,47.2,Increase renewable energy adoption (currently 7%)
VUT,Vanuatu,46.1,Increase renewable energy adoption (currently 0%) | Implement emission reduction targets (growing at 4.8%/yr) | Invest in climate adaptation infrastructure
NAM,Namibia,45.8,Increase renewable energy adoption (currently 13%)
STP,Sao Tome and Principe,45.8,Increase renewable energy adoption (currently 0%) | Invest in climate adaptation infrastructure
SYR,Syria,45.1,Increase renewable energy adoption (currently 11%)
PNG,Papua New Guinea,44.2,Increase renewable energy adoption (currently 0%) | Invest in climate adaptation infrastructure
MRT,Mauritania,44.1,Increase renewable energy adoption (currently 0%) | Implement emission reduction targets (growing at 4.0%/yr) | Invest in climate adaptation infrastructure
COM,Comoros,44.0,Increase renewable energy adoption (currently 0%) | Invest in climate adaptation infrastructure
GHA,Ghana,43.9,Increase renewable energy adoption (currently 4%) | Implement emission reduction targets (growing at 4.4%/yr)
KGZ,Kyrgyzstan,43.5,Reduce coal dependency (currently 48% of emissions) | Increase renewable energy adoption (currently 11%) | Implement emission reduction targets (growing at 5.6%/yr)
FSM,Micronesia (country),43.0,Increase renewable energy adoption (currently 0%) | Implement emission reduction targets (growing at 4.9%/yr) | Invest in climate adaptation infrastructure
DOM,Dominican Republic,42.8,Increase renewable energy adoption (currently 7%) | Implement emission reduction targets (growing at 4.1%/yr)
BLZ,Belize,42.3,Increase renewable energy adoption (currently 1%) | Implement emission reduction targets (growing at 3.9%/yr)
TON,Tonga,42.0,Increase renewable energy adoption (currently 0%) | Implement emission reduction targets (growing at 4.8%/yr) | Invest in climate adaptation infrastructure
ZAF,South Africa,41.6,Reduce coal dependency (currently 84% of emissions) | Increase renewable energy adoption (currently 1%)
TUV,Tuvalu,41.5,Increase renewable energy adoption (currently 0%) | Invest in climate adaptation infrastructure
COG,Congo,41.4,Implement emission reduction targets (growing at 6.8%/yr) | Invest in climate adaptation infrastructure
WSM,Samoa,41.3,Increase renewable energy adoption (currently 0%) | Implement emission reduction targets (growing at 4.7%/yr) | Invest in climate adaptation infrastructure
CUB,Cuba,41.1,Increase renewable energy adoption (currently 2%) | Implement emission reduction targets (growing at 4.1%/yr)
HND,Honduras,40.8,Increase renewable energy adoption (currently 6%) | Implement emission reduction targets (growing at 3.6%/yr)
MAR,Morocco,40.5,Reduce coal dependency (currently 33% of emissions) | Increase renewable energy adoption (currently 6%)
COL,Colombia,40.2,Increase renewable energy adoption (currently 6%) | Implement emission reduction targets (growing at 3.0%/yr)
PSE,Palestine,40.0,Increase renewable energy adoption (currently 0%)
NIC,Nicaragua,39.9,Increase renewable energy adoption (currently 3%) | Implement emission reduction targets (growing at 3.7%/yr)
MNG,Mongolia,39.7,Reduce coal dependency (currently 87% of emissions) | Increase renewable energy adoption (currently 1%) | Per-capita emissions (12.9t) above global target — consider carbon pricing
WLF,Wallis and Futuna,39.7,Increase renewable energy adoption (currently 0%) | Implement emission reduction targets (growing at 6.9%/yr)
TJK,Tajikistan,39.6,Reduce coal dependency (currently 41% of emissions) | Implement emission reduction targets (growing at 4.6%/yr)
CPV,Cape Verde,39.5,Increase renewable energy adoption (currently 0%) | Implement emission reduction targets (growing at 4.0%/yr)
MAC,Macao,39.3,Increase renewable energy adoption (currently 0%)
FJI,Fiji,39.0,Increase renewable energy adoption (currently 0%) | Implement emission reduction targets (growing at 4.6%/yr)
BOL,Bolivia,38.2,Increase renewable energy adoption (currently 6%) | Implement emission reduction targets (growing at 16.6%/yr)
ECU,Ecuador,38.1,Increase renewable energy adoption (currently 11%) | Implement emission reduction targets (growing at 3.1%/yr)
VNM,Vietnam,37.8,Reduce coal dependency (currently 62% of emissions) | Increase renewable energy adoption (currently 12%) | Implement emission reduction targets (growing at 6.8%/yr)
EGY,Egypt,37.4,Increase renewable energy adoption (currently 12%) | Implement emission reduction targets (growing at 3.3%/yr)
DMA,Dominica,37.4,Increase renewable energy adoption (currently 0%) | Implement emission reduction targets (growing at 3.6%/yr)
VCT,Saint Vincent and the Grenadines,37.3,Increase renewable energy adoption (currently 0%) | Implement emission reduction targets (growing at 4.1%/yr)
SHN,Saint Helena,37.3,Increase renewable energy adoption (currently 0%)
PAN,Panama,37.2,Increase renewable energy adoption (currently 4%)
PER,Peru,37.1,Increase renewable energy adoption (currently 9%) | Implement emission reduction targets (growing at 6.3%/yr)
JOR,Jordan,36.7,Increase renewable energy adoption (currently 7%)
JAM,Jamaica,36.7,Increase renewable energy adoption (currently 4%) | Implement emission reduction targets (growing at 4.1%/yr)
GAB,Gabon,36.7,Maintain current sustainability policies and monitor trends
LCA,Saint Lucia,36.5,Increase renewable energy adoption (currently 0%) | Implement emission reduction targets (growing at 3.9%/yr)
BIH,Bosnia and Herzegovina,36.5,Reduce coal dependency (currently 71% of emissions) | Increase renewable energy adoption (currently 2%)
TUN,Tunisia,36.1,Increase renewable energy adoption (currently 14%) | Implement emission reduction targets (growing at 2.9%/yr)
BRA,Brazil,35.9,Increase renewable energy adoption (currently 10%)
TUR,Turkey,35.3,Reduce coal dependency (currently 41% of emissions) | Increase renewable energy adoption (currently 9%) | Implement emission reduction targets (growing at 5.4%/yr)
SLV,El Salvador,35.2,Increase renewable energy adoption (currently 4%) | Implement emission reduction targets (growing at 3.5%/yr)
BRN,Brunei,35.0,Increase renewable energy adoption (currently 2%) | Per-capita emissions (26.0t) above global target — consider carbon pricing
NCL,New Caledonia,34.9,Reduce coal dependency (currently 54% of emissions) | Increase renewable energy adoption (currently 1%) | Implement emission reduction targets (growing at 4.3%/yr) | Per-capita emissions (18.1t) above global target — consider carbon pricing
ALB,Albania,34.5,Maintain current sustainability policies and monitor trends
PRY,Paraguay,34.2,Increase renewable energy adoption (currently 4%) | Implement emission reduction targets (growing at 3.8%/yr)
PLW,Palau,34.0,Increase renewable energy adoption (currently 0%) | Implement emission reduction targets (growing at 4.6%/yr) | Per-capita emissions (12.8t) above global target — consider carbon pricing | Invest in climate adaptation infrastructure
MDA,Moldova,34.0,Increase renewable energy adoption (currently 11%)
BHR,Bahrain,34.0,Increase renewable energy adoption (currently 1%) | Per-capita emissions (24.3t) above global target — consider carbon pricing
AIA,Anguilla,33.8,Increase renewable energy adoption (currently 0%) | Implement emission reduction targets (growing at 3.5%/yr) | Per-capita emissions (10.1t) above global target — consider carbon pricing
SPM,Saint Pierre and Miquelon,33.8,Increase renewable energy adoption (currently 0%) | Implement emission reduction targets (growing at 3.8%/yr)
SXM,Sint Maarten (Dutch part),33.5,Increase renewable energy adoption (currently 0%) | Implement emission reduction targets (growing at 3.9%/yr) | Per-capita emissions (16.5t) above global target — consider carbon pricing
TTO,Trinidad and Tobago,33.5,Increase renewable energy adoption (currently 1%) | Per-capita emissions (22.9t) above global target — consider carbon pricing
ABW,Aruba,33.2,Increase renewable energy adoption (currently 0%) | Implement emission reduction targets (growing at 3.8%/yr)
GRL,Greenland,33.2,Increase renewable energy adoption (currently 0%) | Per-capita emissions (11.1t) above global target — consider carbon pricing
CUW,Curacao,33.1,Increase renewable energy adoption (currently 0%) | Implement emission reduction targets (growing at 3.9%/yr) | Per-capita emissions (12.3t) above global target — consider carbon pricing
TCA,Turks and Caicos Islands,32.6,Increase renewable energy adoption (currently 0%) | Implement emission reduction targets (growing at 3.8%/yr)
FRO,Faroe Islands,32.4,Increase renewable energy adoption (currently 0%) | Per-capita emissions (13.1t) above global target — consider carbon pricing
CHN,China,32.0,Reduce coal dependency (currently 72% of emissions) | Increase renewable energy adoption (currently 7%)
CRI,Costa Rica,31.7,Increase renewable energy adoption (currently 5%) | Implement emission reduction targets (growing at 3.4%/yr)
SVK,Slovakia,31.6,Increase renewable energy adoption (currently 7%)
URY,Uruguay,31.4,Increase renewable energy adoption (currently 4%) | Implement emission reduction targets (growing at 4.5%/yr)
ARM,Armenia,31.3,Increase renewable energy adoption (currently 8%)
UKR,Ukraine,31.3,Reduce coal dependency (currently 38% of emissions) | Increase renewable energy adoption (currently 5%) | Implement emission reduction targets (growing at 2.3%/yr)
SUR,Suriname,31.3,Increase renewable energy adoption (currently 1%) | Implement emission reduction targets (growing at 4.1%/yr)
SRB,Serbia,31.3,Reduce coal dependency (currently 59% of emissions) | Increase renewable energy adoption (currently 3%)
EST,Estonia,31.3,Reduce coal dependency (currently 55% of emissions) | Increase renewable energy adoption (currently 1%)
GEO,Georgia,31.3,Increase renewable energy adoption (currently 7%)
IRQ,Iraq,30.9,Implement emission reduction targets (growing at 2.5%/yr)
LBN,Lebanon,30.9,Increase renewable energy adoption (currently 6%)
LBY,Libya,30.4,Increase renewable energy adoption (currently 20%)
MUS,Mauritius,30.2,Reduce coal dependency (currently 34% of emissions) | Increase renewable energy adoption (currently 0%)
POL,Poland,30.1,Reduce coal dependency (currently 47% of emissions) | Increase renewable energy adoption (currently 5%)
OMN,Oman,30.1,Increase renewable energy adoption (currently 8%) | Implement emission reduction targets (growing at 3.6%/yr) | Per-capita emissions (15.7t) above global target — consider carbon pricing
BGR,Bulgaria,30.0,Reduce coal dependency (currently 33% of emissions) | Increase renewable energy adoption (currently 9%)
KOR,South Korea,29.9,Reduce coal dependency (currently 42% of emissions) | Increase renewable energy adoption (currently 5%) | Per-capita emissions (11.3t) above global target — consider carbon pricing
BMU,Bermuda,29.8,Increase renewable energy adoption (currently 0%) | Implement emission reduction targets (growing at 3.8%/yr)
PYF,French Polynesia,29.6,Increase renewable energy adoption (currently 0%) | Implement emission reduction targets (growing at 4.6%/yr)
GRD,Grenada,29.3,Increase renewable energy adoption (currently 0%) | Implement emission reduction targets (growing at 3.9%/yr)
MYS,Malaysia,29.3,Reduce coal dependency (currently 34% of emissions) | Increase renewable energy adoption (currently 6%) | Implement emission reduction targets (growing at 5.0%/yr)
BRB,Barbados,29.2,Increase renewable energy adoption (currently 8%) | Implement emission reduction targets (growing at 3.6%/yr)
VGB,British Virgin Islands,29.2,Increase renewable energy adoption (currently 0%) | Implement emission reduction targets (growing at 4.3%/yr)
THA,Thailand,29.0,Increase renewable energy adoption (currently 7%)
BES,Bonaire Sint Eustatius and Saba,29.0,Increase renewable energy adoption (currently 0%) | Implement emission reduction targets (growing at 4.1%/yr)
SAU,Saudi Arabia,28.9,Increase renewable energy adoption (currently 5%) | Implement emission reduction targets (growing at 2.2%/yr) | Per-capita emissions (20.4t) above global target — consider carbon pricing
ATG,Antigua and Barbuda,28.4,Increase renewable energy adoption (currently 0%) | Implement emission reduction targets (growing at 3.7%/yr)
MDV,Maldives,28.4,Increase renewable energy adoption (currently 0%) | Implement emission reduction targets (growing at 4.6%/yr) | Invest in climate adaptation infrastructure
SVN,Slovenia,28.1,Increase renewable energy adoption (currently 5%) | Implement emission reduction targets (growing at 6.2%/yr)
BHS,Bahamas,28.0,Increase renewable energy adoption (currently 0%) | Implement emission reduction targets (growing at 3.9%/yr)
MHL,Marshall Islands,27.9,Increase renewable energy adoption (currently 0%) | Implement emission reduction targets (growing at 4.1%/yr) | Invest in climate adaptation infrastructure
NIU,Niue,27.9,Increase renewable energy adoption (currently 0%) | Implement emission reduction targets (growing at 14.3%/yr)
IRN,Iran,27.6,Increase renewable energy adoption (currently 10%)
HKG,Hong Kong,27.5,Reduce coal dependency (currently 34% of emissions) | Increase renewable energy adoption (currently 2%)
CZE,Czechia,27.5,Reduce coal dependency (currently 45% of emissions) | Increase renewable energy adoption (currently 4%)
MNE,Montenegro,27.4,Reduce coal dependency (currently 54% of emissions) | Increase renewable energy adoption (currently 0%)
AUS,Australia,27.4,Reduce coal dependency (currently 37% of emissions) | Increase renewable energy adoption (currently 6%) | Per-capita emissions (14.5t) above global target — consider carbon pricing
SYC,Seychelles,27.2,Increase renewable energy adoption (currently 0%)
TWN,Taiwan,27.1,Reduce coal dependency (currently 54% of emissions) | Increase renewable energy adoption (currently 2%) | Per-capita emissions (11.3t) above global target — consider carbon pricing
KWT,Kuwait,27.1,Increase renewable energy adoption (currently 2%) | Implement emission reduction targets (growing at 5.2%/yr) | Per-capita emissions (26.2t) above global target — consider carbon pricing
MLT,Malta,27.0,Increase renewable energy adoption (currently 0%)
JPN,Japan,26.7,Reduce coal dependency (currently 40% of emissions) | Increase renewable energy adoption (currently 3%)
KAZ,Kazakhstan,26.5,Reduce coal dependency (currently 56% of emissions) | Increase renewable energy adoption (currently 7%) | Per-capita emissions (13.9t) above global target — consider carbon pricing
RUS,Russia,26.4,Increase renewable energy adoption (currently 6%) | Implement emission reduction targets (growing at 2.7%/yr) | Per-capita emissions (12.3t) above global target — consider carbon pricing
SGP,Singapore,26.1,Increase renewable energy adoption (currently 0%) | Implement emission reduction targets (growing at 5.6%/yr)
CYP,Cyprus,25.6,Increase renewable energy adoption (currently 13%)
ROU,Romania,25.6,Increase renewable energy adoption (currently 8%)
NZL,New Zealand,25.6,Increase renewable energy adoption (currently 6%) | Implement emission reduction targets (growing at 2.9%/yr)
MSR,Montserrat,25.4,Increase renewable energy adoption (currently 0%) | Implement emission reduction targets (growing at 3.8%/yr)
COK,Cook Islands,25.4,Increase renewable energy adoption (currently 0%) | Implement emission reduction targets (growing at 3.9%/yr)
GUY,Guyana,25.4,Increase renewable energy adoption (currently 4%) | Implement emission reduction targets (growing at 3.0%/yr)
UZB,Uzbekistan,25.4,Increase renewable energy adoption (currently 3%) | Implement emission reduction targets (growing at 13.3%/yr)
NLD,Netherlands,25.3,Increase renewable energy adoption (currently 2%)
KNA,Saint Kitts and Nevis,25.2,Increase renewable energy adoption (currently 0%) | Implement emission reduction targets (growing at 4.0%/yr)
ISR,Israel,24.9,Increase renewable energy adoption (currently 4%)
TKM,Turkmenistan,24.8,Increase renewable energy adoption (currently 4%) | Per-capita emissions (10.8t) above global target — consider carbon pricing
MKD,North Macedonia,24.8,Reduce coal dependency (currently 37% of emissions) | Increase renewable energy adoption (currently 0%)
FIN,Finland,24.7,Increase renewable energy adoption (currently 3%)
NRU,Nauru,24.7,Increase renewable energy adoption (currently 0%) | Implement emission reduction targets (growing at 3.4%/yr) | Invest in climate adaptation infrastructure
SWE,Sweden,24.6,Increase renewable energy adoption (currently 8%) | Implement emission reduction targets (growing at 3.8%/yr)
GNQ,Equatorial Guinea,24.5,Increase renewable energy adoption (currently 6%)
GRC,Greece,24.5,Increase renewable energy adoption (currently 6%) | Implement emission reduction targets (growing at 2.6%/yr)
ISL,Iceland,24.3,Increase renewable energy adoption (currently 5%) | Implement emission reduction targets (growing at 8.4%/yr)
DEU,Germany,24.0,Increase renewable energy adoption (currently 3%)
AND,Andorra,23.5,Increase renewable energy adoption (currently 0%)
ARE,United Arab Emirates,23.5,Increase renewable energy adoption (currently 3%) | Implement emission reduction targets (growing at 5.5%/yr) | Per-capita emissions (20.1t) above global target — consider carbon pricing
AUT,Austria,23.4,Increase renewable energy adoption (currently 5%)
ESP,Spain,23.1,Increase renewable energy adoption (currently 6%) | Implement emission reduction targets (growing at 2.3%/yr)
MEX,Mexico,22.9,Increase renewable energy adoption (currently 6%)
USA,United States,22.7,Increase renewable energy adoption (currently 5%) | Per-capita emissions (14.2t) above global target — consider carbon pricing
BEL,Belgium,22.7,Increase renewable energy adoption (currently 5%)
HRV,Croatia,22.5,Increase renewable energy adoption (currently 8%)
CHL,Chile,22.0,Increase renewable energy adoption (currently 1%)
QAT,Qatar,22.0,Increase renewable energy adoption (currently 3%) | Implement emission reduction targets (growing at 5.2%/yr) | Per-capita emissions (41.3t) above global target — consider carbon pricing
LIE,Liechtenstein,22.0,Increase renewable energy adoption (currently 0%)
LUX,Luxembourg,21.9,Increase renewable energy adoption (currently 4%) | Implement emission reduction targets (growing at 2.9%/yr) | Per-capita emissions (10.5t) above global target — consider carbon pricing
DNK,Denmark,21.5,Increase renewable energy adoption (currently 5%)
BLR,Belarus,21.5,Increase renewable energy adoption (currently 6%)
ITA,Italy,21.1,Increase renewable energy adoption (currently 4%)
IRL,Ireland,21.0,Increase renewable energy adoption (currently 7%)
VEN,Venezuela,20.2,Increase renewable energy adoption (currently 14%)
NOR,Norway,20.1,Increase renewable energy adoption (currently 7%)
ARG,Argentina,20.1,Increase renewable energy adoption (currently 4%)
DZA,Algeria,19.8,Increase renewable energy adoption (currently 14%)
HUN,Hungary,19.7,Increase renewable energy adoption (currently 2%)
PRT,Portugal,17.4,Increase renewable energy adoption (currently 11%)
GBR,United Kingdom,17.4,Increase renewable energy adoption (currently 3%)
LVA,Latvia,17.3,Increase renewable energy adoption (currently 9%)
CAN,Canada,17.1,Increase renewable energy adoption (currently 5%) | Per-capita emissions (13.4t) above global target — consider carbon pricing
LTU,Lithuania,16.9,Increase renewable energy adoption (currently 6%)
AZE,Azerbaijan,16.6,Increase renewable energy adoption (currently 4%)
FRA,France,16.2,Increase renewable energy adoption (currently 4%)
CHE,Switzerland,10.6,Increase renewable energy adoption (currently 5%)
